Gene ID,Gene Name,"B cell, adult","CD4-positive T cell, adult","CD8-positive T cell, adult","adrenal gland, adult","brain, fetus","colon, adult","esophagus, adult","frontal cortex, adult","gall bladder, adult","gut, fetus","heart, adult","heart, fetus","kidney, adult","liver, adult","liver, fetus","lung, adult","monocyte, adult","natural killer cell, adult","ovary, adult","ovary, fetus","pancreas, adult","placenta, fetus","platelet, adult","prostate gland, adult","rectum, adult","retina, adult","spinal cord, adult","testis, adult","testis, fetus","urinary bladder, adult"
ENSG00000000003,TSPAN6,0,0,0,0,0,9.94E-06,0,0,0,0,0,0,0,0,0,0,0,0,6.76E-06,5.20E-05,2.29E-05,0,0,7.31E-06,0,0,0,6.56E-06,0,0
ENSG00000000419,DPM1,2.20E-05,1.02E-05,2.55E-05,8.43E-05,8.53E-06,8.32E-06,2.07E-05,1.39E-05,1.35E-05,3.48E-05,0,1.38E-05,2.25E-05,3.47E-05,4.68E-05,7.33E-05,0,4.28E-05,6.86E-05,7.33E-05,2.99E-05,3.24E-05,4.28E-05,1.63E-05,1.62E-05,3.35E-05,0,5.12E-05,4.82E-05,1.27E-05
ENSG00000000457,SCYL3,0,4.70E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000938,FGR,1.73E-05,0,9.57E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34E-04,2.05E-05,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,CFH,0,0,0,2.07E-04,2.22E-05,2.56E-04,1.51E-04,9.57E-06,7.13E-04,3.52E-05,5.52E-05,2.58E-05,7.81E-05,1.06E-04,1.45E-05,1.97E-04,0.00339418,0,2.13E-04,2.57E-05,1.47E-04,3.29E-05,5.03E-05,1.45E-04,1.91E-04,1.06E-05,9.75E-05,2.11E-04,9.61E-06,3.74E-04
ENSG00000001036,FUCA2,0,0,0,6.69E-05,0,0,0,0,0,2.61E-05,0,0,8.47E-06,2.05E-05,6.45E-06,0,4.34E-05,0,9.32E-06,2.49E-05,0,0,0,0,1.40E-05,0,0,1.21E-05,3.54E-06,0
ENSG00000001084,GCLC,1.47E-05,2.39E-05,2.61E-05,4.94E-05,1.85E-05,2.95E-05,2.28E-05,4.80E-05,2.28E-05,2.02E-05,4.25E-05,1.17E-05,1.75E-05,9.82E-05,3.28E-05,6.62E-06,3.22E-05,2.34E-05,2.50E-05,3.38E-05,5.81E-05,1.44E-05,1.76E-05,3.65E-05,4.35E-05,3.58E-05,6.92E-05,4.44E-05,1.24E-05,4.69E-05
ENSG00000001167,NFYA,4.35E-05,0,1.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06E-05,0,0
ENSG00000001497,LAS1L,2.55E-05,9.83E-06,1.32E-05,0,1.05E-05,0,0,0,0,1.57E-05,0,3.26E-06,0,0,9.45E-07,0,0,1.66E-05,1.94E-05,4.41E-05,1.30E-05,7.96E-06,0,0,0,0,0,1.65E-05,1.07E-05,0
ENSG00000001561,ENPP4,1.67E-05,2.06E-05,1.72E-05,0,0,0,0,7.88E-06,0,0,0,0,0,0,0,0,0,6.15E-05,0,0,0,0,5.12E-06,0,0,0,0,0,0,0
ENSG00000001626,CFTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30E-05,0,0,0,0,0,0,0,0,0
ENSG00000001629,ANKIB1,0,0,1.77E-06,0,7.97E-06,0,0,7.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33E-06,1.82E-05,0,0
ENSG00000001630,CYP51A1,0,0,0,3.23E-04,3.37E-05,0,0,0,0,1.31E-05,0,4.36E-06,5.92E-06,6.98E-05,1.67E-04,4.57E-05,0,0,6.94E-05,2.54E-04,3.13E-05,0,0,2.81E-06,4.70E-06,2.38E-05,0,4.80E-05,3.27E-04,0
ENSG00000001631,KRIT1,0,0,2.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11E-06,0,0,0,0,0,0,1.00E-05,0,0
ENSG00000002549,LAP3,4.31E-05,6.44E-05,4.40E-05,2.18E-04,2.31E-05,1.32E-04,4.86E-05,9.56E-05,2.10E-04,6.84E-05,7.49E-05,5.39E-05,1.89E-04,4.49E-04,7.74E-05,2.99E-04,1.67E-04,6.73E-05,2.19E-04,2.47E-04,2.79E-04,1.72E-04,1.26E-04,9.71E-05,1.06E-04,2.69E-04,2.10E-04,1.53E-04,5.61E-05,7.74E-05
ENSG00000002586,CD99,1.14E-05,2.42E-04,5.55E-06,0,2.43E-05,8.75E-06,0,1.69E-05,0,2.97E-05,0,1.68E-05,0,0,1.33E-05,0,0,0,8.33E-05,1.02E-04,3.71E-04,0,2.41E-05,3.52E-05,0,0,5.64E-05,1.71E-04,2.18E-05,6.16E-05
ENSG00000002726,AOC1,0,0,0,0,0,3.46E-05,0,0,0,5.68E-05,0,0,5.91E-05,0,0,0,0,0,0,0,0,0,0,0,3.14E-05,0,0,0,0,0
ENSG00000002746,HECW1,0,0,0,0,0,0,0,1.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,MAD1L1,1.67E-05,1.88E-05,1.40E-05,0,0,0,0,0,0,0,0,5.02E-06,0,0,3.29E-06,0,2.38E-05,1.77E-05,1.28E-05,3.15E-05,4.22E-05,1.22E-05,0,6.86E-06,0,8.06E-06,0,1.47E-05,5.33E-06,0
ENSG00000002834,LASP1,2.08E-04,4.48E-04,2.85E-04,1.05E-04,1.46E-04,1.23E-04,4.28E-05,1.39E-04,2.86E-04,2.93E-04,2.24E-05,5.48E-05,3.20E-05,1.02E-04,9.70E-05,1.61E-04,4.60E-04,7.87E-04,8.63E-05,1.96E-04,2.77E-04,8.85E-05,5.22E-04,1.50E-04,1.57E-04,2.61E-05,3.25E-05,1.20E-04,7.25E-05,1.32E-04
ENSG00000003056,M6PR,4.69E-05,3.24E-05,2.79E-05,1.00E-04,0,2.68E-05,0,0,2.05E-05,0,0,4.65E-06,0,5.29E-05,9.08E-06,0,7.25E-05,2.44E-05,4.57E-05,3.58E-05,0,0,9.87E-05,0,2.93E-05,1.98E-05,0,5.77E-05,9.75E-06,1.41E-05
ENSG00000003147,ICA1,0,0,0,0,0,0,0,1.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-05,0,0,0,0,0,0,0,0,0
ENSG00000003393,ALS2,0,0,0,0,9.69E-06,0,0,4.98E-06,0,0,0,4.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-05,0,0,0,0
ENSG00000003400,CASP10,5.01E-06,1.33E-05,7.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,1.25E-05,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003436,TFPI,0,0,0,0,0,0,0,0,5.06E-06,0,0,0,0,0,0,0,0,0,0,0,4.38E-06,0,0,0,0,0,0,0,0,0
ENSG00000003509,NDUFAF7,4.53E-06,0,0,1.44E-05,0,0,0,7.86E-06,0,0,1.02E-05,0,0,6.44E-06,0,0,0,0,0,0,0,0,0,0,0,3.04E-06,0,5.66E-06,0,0
ENSG00000003756,RBM5,1.02E-05,2.96E-05,1.21E-05,0,1.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.68E-06,2.59E-05,1.64E-05,8.07E-06,0,0,0,0,4.49E-06,0,2.41E-05,0,0
ENSG00000003987,MTMR7,0,0,0,0,3.37E-06,0,0,7.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22E-06,0,0,0,0
ENSG00000003989,SLC7A2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,4.98E-06,0,0,0,4.37E-06,0,0,0,0,0,0,0,0,1.35E-05,0,0
ENSG00000004059,ARF5,2.64E-04,2.57E-04,3.01E-05,1.03E-04,5.51E-05,1.40E-04,1.12E-04,4.55E-05,2.52E-05,9.89E-05,0,2.48E-05,3.85E-05,4.83E-05,1.16E-05,8.22E-05,4.78E-04,5.34E-05,6.19E-05,1.25E-04,6.37E-05,7.58E-05,3.39E-04,3.54E-05,2.05E-04,2.69E-04,1.44E-05,2.71E-04,1.19E-04,1.06E-04
ENSG00000004139,SARM1,0,1.85E-05,4.86E-06,2.21E-05,3.16E-05,0,0,9.40E-06,7.91E-06,4.44E-06,0,0,0,0,0,0,0,0,3.17E-06,2.80E-05,3.67E-06,0,0,1.79E-05,9.61E-06,1.63E-05,1.65E-05,7.78E-06,1.84E-06,8.98E-06
ENSG00000004142,POLDIP2,6.36E-06,7.21E-06,3.45E-06,5.68E-05,1.26E-05,0,0,0,0,1.85E-05,3.89E-05,1.54E-05,4.97E-05,5.36E-05,1.28E-05,0,0,5.72E-06,2.72E-05,4.86E-05,2.07E-05,1.19E-05,0,4.24E-06,7.81E-06,1.12E-05,0,2.45E-05,1.45E-05,0
ENSG00000004399,PLXND1,0,0,0,0,0,0,0,4.69E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004455,AK2,3.55E-04,1.84E-04,2.76E-04,3.81E-04,2.19E-05,1.71E-04,4.43E-05,3.58E-05,6.00E-05,3.54E-04,3.07E-04,1.07E-04,3.49E-04,4.29E-04,1.26E-04,1.22E-04,4.77E-04,2.30E-04,1.36E-04,2.31E-04,2.56E-04,1.96E-04,2.89E-04,8.97E-05,1.61E-04,1.19E-04,5.23E-05,1.88E-04,1.53E-04,7.59E-05
ENSG00000004468,CD38,1.33E-05,4.21E-05,0,2.24E-05,0,0,0,3.56E-05,0,0,0,0,0,0,0,0,3.81E-05,3.77E-05,0,0,0,0,0,1.18E-05,0,0,3.78E-05,0,0,0
ENSG00000004478,FKBP4,5.99E-05,8.48E-05,4.83E-05,9.76E-05,8.88E-05,5.38E-05,8.88E-05,5.54E-05,4.22E-05,4.38E-05,2.84E-05,4.07E-05,2.81E-05,1.51E-04,8.66E-05,2.47E-05,1.04E-04,3.40E-05,2.14E-04,6.37E-04,1.39E-04,4.23E-05,1.47E-05,6.82E-05,5.91E-05,1.30E-04,5.41E-05,1.36E-04,1.30E-04,7.25E-05
