'SPINK1','TGFBR2','FGFR2','MLH1','BCL2','VHL','EGFR','KDR','HAVCR2','CTLA4','CDKN2A','KRAS','TGFB1','ITGA2','CMPK1','APC','ACTR2','ERBB2','PDCD1','PFN1','GPC3','TACSTD2','CDH17','MYC','CCND1','TP53','COPS5','CEACAM5'
11.749,11.599,7.636,9.7364,7.5703,9.9661,8.5696,8.0315,5.9944,5.0523,4.5562,10.895,7.4089,12.255,12.896,8.9465,13.4,11.434,2.7293,13.468,12.593,7.2116,14.114,11.724,11.775,11.581,10.308,17.248
11.055,12.1,9.1549,8.6976,7.2313,8.6911,9.5419,7.939,8.1046,5.9673,8.3717,8.6976,11.699,10.017,9.8231,6.9117,10.272,12.91,7.0803,15.799,8.9794,8.4038,12.971,12.363,11.853,11.32,9.6926,15.52
8.4553,8.9687,0,0,4.7004,7.4594,7.6511,8.2336,4.7004,5.6724,11.317,7.2384,9.8154,6.6582,8.1085,4.7004,9.9672,11.883,5.6724,16.136,5.6724,7.4594,10.753,11.784,12.02,8.5546,9.0389,13.796
11.606,11.827,9.594,8.7919,9.1426,9.7177,9.6892,8.0935,6.9697,4.5414,6.0845,10.867,10.461,11.268,13.048,9.2128,13.197,12.718,4.8063,13.699,8.4822,11.049,13.979,11.719,12.549,11.685,9.9077,15.975
8.4879,11.747,7.039,9.2304,7.096,10.02,9.6372,7.3195,7.8472,5.2493,6.507,10.31,10.267,10.753,11.546,8.2827,12.614,12.228,4.8688,13.848,5.4372,8.7527,14.676,13.696,12.315,11.427,10.972,16.116
9.8101,11.73,9.6123,8.2075,5.8414,8.5613,9.862,7.958,8.3801,5.2244,10.761,9.9706,11.798,11.353,12.091,8.4003,12.05,12.425,5.9274,14.43,4.3891,13.11,13.148,12.536,12.167,8.4003,10.11,16.419
11.354,11.472,9.3708,10.413,6.8255,9.7623,9.2248,8.1695,7.9715,5.0391,5.8168,9.2044,8.7273,9.7706,11.181,8.2904,11.547,11.682,2.593,15.124,9.2166,7.6243,13.609,12.396,10.319,9.456,11.13,17.511
9.1798,12.067,7.2088,7.1319,7.4359,9.5485,12.966,8.3756,7.624,5.083,9.814,9.8087,10.314,10.427,11.462,8.5377,12.07,11.796,5.2166,13.897,5.2166,4.8284,12.884,12.802,12.079,9.003,10.633,14.143
7.5304,11.788,10.254,8.8205,8.5546,9.8756,6.5312,11.217,7.0677,6.653,6.6915,9.5387,10.139,10.303,12.731,8.5441,12.219,12.497,5.0708,12.904,6.7041,9.0911,11.076,11.743,13.926,8.5855,10.055,15.275
12.687,11.257,6.2181,8.9523,6.2452,9.4889,8.9929,7.1522,8.0885,5.948,5.2904,10.313,9.3238,10.165,12.727,7.5825,12.911,11.209,5.735,14.05,7.4721,8.4738,13.738,12.267,11.399,11.184,10.564,16.816
13.41,11.09,6.2405,9.3419,5.6463,9.5145,8.2166,8.2727,6.9394,5.3316,5.4003,9.8329,9.3244,11.08,12.245,7.945,12.701,11.64,3.6759,14.243,7.1732,5.0186,13.548,12.243,11.79,11.463,10.65,16.101
9.5008,11.016,7.7355,9.0222,7.5728,9.7748,7.9385,7.9496,8.5473,6.2622,8.23,10.851,9.549,10.621,13.245,8.4877,13.043,11.215,6.1123,14.445,8.0663,9.1237,12.827,12.596,12.033,10.537,10.265,16.287
11.866,11.153,6.7509,8.9615,6.0062,9.951,9.108,8.4134,7.2747,6.0338,3.4496,9.9672,9.6506,11.461,11.213,8.539,12.235,17.43,4.2935,13.385,5.9781,4.1993,13.085,11.861,11.872,8.9579,9.7516,15.239
10.759,11.702,8.9492,8.8035,7.9343,9.1909,8.7223,6.8818,4.918,7.0236,6.1628,9.9725,9.3742,10.497,12.867,8.5125,12.288,13.035,5.4473,14.531,4.7322,9.1939,14.636,11.536,12.458,11.177,9.9864,16.676
10.343,10.054,8.5351,7.1928,6.494,9.9655,8.775,7.7542,6.9437,3.9683,5.1862,10.146,10.974,10.111,12.048,8.6667,12.237,12.142,4.5969,14.375,8.6882,6.7113,14.025,11.939,12.179,11.621,10.155,15.358
13.052,11.089,7.6669,8.9558,6.7504,9.3192,8.6232,7.7733,6.8921,5.192,6.2584,9.0374,10.526,9.9479,11.243,6.9189,11.344,12.643,5.192,15.108,6.7799,7.8448,12.892,12.229,11.923,11.455,9.7647,15.972
9.2923,11.574,5.202,8.5094,5.2531,10.011,9.6233,7.347,5.037,2.6565,8.1937,9.5842,9.1412,10.192,12.05,8.8242,11.593,11.827,3.3623,14.189,8.245,7.718,13.198,13.565,11.834,9.4968,10.526,17.154
8.0538,11.948,9.5224,8.8171,6.4329,9.9904,8.9527,8.4974,8.5042,5.1704,8.9576,9.514,10.811,10.313,12.229,8.521,12.243,12.244,4.4822,13.771,5.6591,9.8771,14.406,12.274,11.862,10.945,10.505,15.589
9.6,9.3774,10.062,8.7969,8.4733,9.9583,8.1286,8.0637,7.4773,5.4129,7.6643,10.992,8.9029,10.143,12.578,8.8019,11.955,12.474,3.559,14.094,5.8194,3.559,12.324,13.089,12.775,12.128,10.074,13.221
9.2192,10.656,8.6531,7.4247,6.5334,9.4584,8.8917,7.9715,7.932,5.6335,6.7909,10.181,12.054,11.019,11.842,8.7699,12.233,12.651,6.5157,14.535,5.6335,9.2835,12.919,12.349,12.585,11.445,9.8642,15.567
9.9949,11.109,6.2259,9.6526,5.9433,9.3734,7.7662,7.3073,7.2625,4.5851,6.4015,8.9997,10.697,9.8735,11.781,7.5871,12.064,12.063,5.5547,14.533,5.6962,12.424,13.577,12.193,11.023,9.4453,10.484,16.555
10.757,11.537,6.1238,9.6405,6.0772,10.011,8.4427,8.2251,7.0902,4.6018,6.655,9.4386,9.1792,10.768,12.645,8.4057,13.006,11.339,4.4636,14.299,9.6994,8.7296,13.543,11.757,11.196,11.348,9.8577,16.181
11.453,11.778,7.5951,9.4226,6.412,10.328,8.4985,7.58,6.7168,4.2504,7.951,9.9641,9.267,10.783,12.622,8.7474,12.441,10.963,3.9093,14.006,7.4204,8.9304,14.087,12.674,12.101,8.3645,10.706,16.338
12.223,12.151,8.0818,9.3961,6.4075,10.153,8.7626,8.2875,6.3933,4.9102,5.8861,10.012,9.2948,10.991,12.757,9.0635,12.555,12.442,3.6585,13.581,5.8861,6.2273,13.642,12.65,12.127,11.156,10.312,16.203
11.318,12.721,10.063,9.5535,6.7625,10.305,8.6006,8.1417,7.1247,4.6981,7.5327,10.525,9.1782,11.097,13.427,8.7027,12.968,12.696,3.5017,13.017,4.2534,4.3171,13.789,12.213,12.498,10.503,10.191,16.541
12.068,10.926,4.4302,10.312,6.1596,9.2709,7.2503,7.5842,7.9694,5.7512,5.4457,9.3247,9.5162,10.835,12.555,7.4693,12.057,11.423,4.853,15.244,9.1752,9.3181,12.835,12.149,11.09,11.195,10.881,15.432
14.729,10.156,9.1169,8.2679,7.8163,8.6764,7.6843,6.4651,4.9598,3.0926,5.8637,8.9987,8.2749,8.459,12.087,5.2724,11.565,11.99,4.4649,15.18,6.4651,11.058,13.032,12.646,11.701,11.958,11.255,16.304
7.8565,9.7302,8.2283,6.6582,7.7278,9.6237,8.1745,7.5532,8.7504,6.1113,6.8491,9.778,11.488,9.9861,11.759,8.6355,12.335,12.396,7.439,14.8,4.5222,11.326,13.758,11.967,11.715,11.681,10.068,16.187
