Gene	# Mut	#	Freq
APC	488	355	57.35%
TP53	336	312	50.40%
KRAS	177	173	27.95%
SYNE1	241	159	25.69%
FLG	208	154	24.88%
PIK3CA	147	130	21.00%
MUC17	170	129	20.84%
BRAF	134	126	20.36%
OBSCN	171	115	18.58%
FAT4	145	109	17.61%
RYR1	132	108	17.45%
AHNAK2	135	105	16.96%
PLEC	129	98	15.83%
LRP1B	134	96	15.51%
SDK1	101	90	14.54%
HRNR	107	90	14.54%
FAT3	112	89	14.38%
KMT2C	100	86	13.89%
FBXW7	98	82	13.25%
PCDH17	96	79	12.76%
RNF213	94	78	12.60%
PCLO	96	77	12.44%
ZFHX3	96	75	12.12%
FLG2	82	75	12.12%
KMT2D	92	75	12.12%
MKI67	82	74	11.95%
PCDH10	94	74	11.95%
DMD	98	74	11.95%
RNF43	96	72	11.63%
SMAD4	80	71	11.47%
SPTA1	90	69	11.15%
TRRAP	79	68	10.99%
CHD4	79	68	10.99%
ARID1A	77	67	10.82%
EPPK1	81	66	10.66%
SLITRK5	72	65	10.50%
FAT1	76	64	10.34%
ZNF536	74	64	10.34%
GLI3	72	63	10.18%
RP1L1	75	63	10.18%
SOX9	70	62	10.02%
NOTCH1	69	62	10.02%
ATP10A	67	61	9.85%
CUX1	67	60	9.69%
ANKRD11	71	59	9.53%
ACVR2A	63	57	9.21%
PDE4DIP	67	57	9.21%
PTPRS	69	57	9.21%
KIAA1109	64	56	9.05%
ATM	72	56	9.05%
PCDHA2	61	56	9.05%
RELN	67	55	8.89%
DSCAML1	64	54	8.72%
DCHS1	63	54	8.72%
ZFP36L2	59	54	8.72%
BCORL1	65	54	8.72%
MAGEC1	60	54	8.72%
AMER1	55	52	8.40%
PTPRT	59	52	8.40%
PCDH9	65	51	8.24%
NUMA1	52	50	8.08%
TAF1L	54	50	8.08%
SETD1A	58	50	8.08%
PTEN	61	50	8.08%
NEURL4	53	49	7.92%
PCDHA3	54	49	7.92%
TCHH	59	49	7.92%
AXIN2	55	48	7.75%
TRIOBP	53	48	7.75%
PCDHA11	55	48	7.75%
LRP5	53	48	7.75%
LRRK2	57	47	7.59%
KMT2A	57	47	7.59%
MTOR	53	47	7.59%
NCOR2	51	47	7.59%
IRS1	55	47	7.59%
DOCK2	54	47	7.59%
USP9X	49	46	7.43%
SPEN	57	46	7.43%
ADGRB3	58	46	7.43%
DCAF12L2	50	46	7.43%
CAD	49	46	7.43%
PCDHA1	52	46	7.43%
SMARCA4	48	45	7.27%
CARD11	49	45	7.27%
BCL9L	52	45	7.27%
POLE	53	45	7.27%
NAV3	56	45	7.27%
FAM47C	49	44	7.11%
ARID1B	48	44	7.11%
MYH9	49	44	7.11%
MYH11	50	44	7.11%
ATRX	61	44	7.11%
B2M	61	44	7.11%
PCDHA13	46	44	7.11%
PREX2	48	43	6.95%
SLX4	48	43	6.95%
SALL3	47	43	6.95%
NF1	49	43	6.95%
NOTCH3	50	43	6.95%
PCDHA12	46	43	6.95%
PRKDC	53	43	6.95%
FLT4	46	42	6.79%
IRS4	49	42	6.79%
GNAS	45	42	6.79%
CAMTA1	43	42	6.79%
TCF7L2	44	42	6.79%
PCDHB7	45	42	6.79%
PCDHA7	45	42	6.79%
FER1L6	51	42	6.79%
PIK3CG	47	42	6.79%
COL1A1	42	42	6.79%
AKAP9	52	42	6.79%
ALK	43	41	6.62%
DICER1	46	41	6.62%
PLCG2	42	41	6.62%
KMT2B	51	41	6.62%
SLITRK1	45	40	6.46%
BRCA2	57	40	6.46%
ZBED1	44	40	6.46%
TSHZ3	44	39	6.30%
AFF2	45	39	6.30%
POLQ	44	39	6.30%
CIC	44	39	6.30%
CDH22	45	39	6.30%
COL11A1	45	39	6.30%
ZNF91	43	39	6.30%
SGK223	44	39	6.30%
JARID2	44	39	6.30%
WNK4	44	39	6.30%
MLLT4	41	38	6.14%
WHSC1	39	38	6.14%
THRAP3	39	38	6.14%
AFF3	44	38	6.14%
EP300	41	38	6.14%
RPTOR	39	37	5.98%
KIAA1549	39	37	5.98%
ZNF804B	47	37	5.98%
SSTR4	45	37	5.98%
MGA	40	37	5.98%
NOTCH4	39	37	5.98%
GRIN2A	41	37	5.98%
PCDH8	40	37	5.98%
CDH9	41	37	5.98%
CDH10	39	37	5.98%
TP53BP1	40	37	5.98%
CREBBP	40	37	5.98%
MDC1	40	37	5.98%
RBP3	42	37	5.98%
ARID2	42	37	5.98%
ERBB2	44	36	5.82%
ERBB3	38	36	5.82%
MECOM	38	36	5.82%
CTCF	37	36	5.82%
KDM2B	42	36	5.82%
CHEK2	37	36	5.82%
ZNF845	39	36	5.82%
ERBB4	36	35	5.65%
ZNF835	35	35	5.65%
ATP4A	40	35	5.65%
KIF2B	37	35	5.65%
ROR2	41	35	5.65%
CTNNB1	39	35	5.65%
PCDHB5	38	35	5.65%
PTPRD	41	35	5.65%
ATN1	39	35	5.65%
GDF5	35	34	5.49%
MAP3K4	36	34	5.49%
DLGAP3	34	34	5.49%
FAM155A	37	34	5.49%
ADAMTS3	38	34	5.49%
POLD1	37	34	5.49%
SLC32A1	35	34	5.49%
KAT6A	36	34	5.49%
NIN	40	34	5.49%
EPHB6	37	33	5.33%
PRDM16	36	33	5.33%
SHKBP1	33	33	5.33%
CDKL5	37	33	5.33%
PCDHB8	38	33	5.33%
FAM47A	39	33	5.33%
ASXL1	34	33	5.33%
BRINP1	35	33	5.33%
NUP214	39	33	5.33%
MYO18A	34	32	5.17%
ZNF777	34	32	5.17%
CDK12	38	32	5.17%
PCDHB3	34	32	5.17%
GRM3	35	32	5.17%
TPR	37	32	5.17%
TSC2	33	32	5.17%
KCNB2	33	32	5.17%
TRIM48	32	32	5.17%
INPPL1	34	32	5.17%
INSRR	35	32	5.17%
BCOR	33	32	5.17%
PRDM9	34	32	5.17%
DNMT1	33	32	5.17%
IRX2	35	32	5.17%
SMAD2	36	32	5.17%
C9ORF172	37	31	5.01%
WDR90	34	31	5.01%
TAF1	36	31	5.01%
PCDHB12	33	31	5.01%
NSD1	35	31	5.01%
TRIP11	36	31	5.01%
RICTOR	38	31	5.01%
ZNF217	33	31	5.01%
PTCH1	34	31	5.01%
LIMK1	32	31	5.01%
DCAF12L1	33	31	5.01%
RPL22	30	30	4.85%
SPECC1	32	30	4.85%
ANKRD12	32	30	4.85%
PCDHB6	31	30	4.85%
GRIK1	37	30	4.85%
GPR50	32	30	4.85%
A2ML1	31	30	4.85%
CLTC	32	30	4.85%
PKN3	31	30	4.85%
ZNF521	33	30	4.85%
SIN3A	33	30	4.85%
PTCHD3	33	30	4.85%
PRDM2	37	30	4.85%
KDM5A	34	30	4.85%
MAGEC3	32	30	4.85%
ACVR1B	40	29	4.68%
FLT1	33	29	4.68%
FANCM	30	29	4.68%
TNKS	30	29	4.68%
BCL9	34	29	4.68%
CRTC1	31	29	4.68%
CHST8	30	29	4.68%
TGFBR2	30	29	4.68%
GUCY2F	33	29	4.68%
SSH1	32	29	4.68%
PIK3R1	34	29	4.68%
PLK3	31	29	4.68%
IRX1	31	29	4.68%
PRKCQ	31	29	4.68%
MED16	32	29	4.68%
PBRM1	30	29	4.68%
PAN3	30	29	4.68%
AFF1	29	28	4.52%
AR	31	28	4.52%
DOT1L	28	28	4.52%
CASP8	30	28	4.52%
TERT	28	28	4.52%
MAP3K6	30	28	4.52%
SETBP1	32	28	4.52%
BRINP3	32	28	4.52%
MAGI2	28	28	4.52%
DNAAF5	28	28	4.52%
EGFR	29	28	4.52%
EPHA5	30	28	4.52%
EPHA8	31	28	4.52%
RXFP3	32	27	4.36%
PKD1L2	29	27	4.36%
FANCD2	28	27	4.36%
MN1	29	27	4.36%
CHST1	30	27	4.36%
CBX4	27	27	4.36%
MST1R	28	27	4.36%
SRRT	29	27	4.36%
AXL	30	27	4.36%
NCAPD3	30	27	4.36%
NRAS	27	27	4.36%
NR4A2	28	27	4.36%
ADAM30	27	27	4.36%
MSH6	29	27	4.36%
GPR45	27	27	4.36%
HLA-B	32	27	4.36%
CHD1	31	27	4.36%
INSR	29	27	4.36%
SNX29	27	27	4.36%
EGR1	28	27	4.36%
RBM10	27	26	4.20%
EPX	27	26	4.20%
ADD2	27	26	4.20%
FZD8	28	26	4.20%
MGAT3	28	26	4.20%
ARID5B	28	26	4.20%
GTSE1	26	26	4.20%
KPRP	27	26	4.20%
TRIM33	27	26	4.20%
SETD2	31	26	4.20%
GLI1	29	26	4.20%
ZNF479	29	26	4.20%
PCDHB15	27	26	4.20%
ICE1	27	26	4.20%
CDH11	26	26	4.20%
SNED1	27	26	4.20%
KCNA5	26	26	4.20%
KDR	31	26	4.20%
FERMT3	26	26	4.20%
RET	32	26	4.20%
LATS2	30	26	4.20%
ROS1	37	26	4.20%
EPHA10	28	26	4.20%
CIITA	32	25	4.04%
PABPC1L	27	25	4.04%
STAG2	25	25	4.04%
PDS5B	26	25	4.04%
AGO2	26	25	4.04%
ATR	31	25	4.04%
DDI1	27	25	4.04%
PRDM1	25	25	4.04%
CCT8L2	25	25	4.04%
BRCA1	26	25	4.04%
NOTCH2	26	25	4.04%
CNTRL	29	25	4.04%
PCDHB2	26	25	4.04%
USP6	28	25	4.04%
IRGC	25	25	4.04%
HTR1A	27	25	4.04%
IGF1R	28	25	4.04%
WNK1	25	25	4.04%
LRRC4B	26	25	4.04%
RBM12	25	25	4.04%
EPHB4	25	24	3.88%
ERF	24	24	3.88%
ABCA9	26	24	3.88%
PARP4	30	24	3.88%
SAGE1	26	24	3.88%
DROSHA	27	24	3.88%
UBR1	28	24	3.88%
GPR149	25	24	3.88%
GPR6	26	24	3.88%
LATS1	24	24	3.88%
SMC3	25	24	3.88%
KAT6B	27	24	3.88%
PDGFRA	28	24	3.88%
PER1	24	24	3.88%
TUBA3C	25	24	3.88%
PRKD1	26	24	3.88%
MAP2K7	29	24	3.88%
ZMYM2	25	24	3.88%
CFAP47	31	24	3.88%
LIFR	28	24	3.88%
EPAS1	24	24	3.88%
ABL1	23	23	3.72%
FAM47B	24	23	3.72%
MAP3K1	28	23	3.72%
AXIN1	27	23	3.72%
MLH1	24	23	3.72%
MAGEC2	23	23	3.72%
SLC25A6	28	23	3.72%
BRSK1	24	23	3.72%
SOS1	25	23	3.72%
BCL6	25	23	3.72%
NKTR	26	23	3.72%
TBX3	24	23	3.72%
NTRK3	24	23	3.72%
RUNX1T1	23	23	3.72%
TGIF1	24	23	3.72%
ASXL3	27	23	3.72%
BRD4	29	23	3.72%
PC	28	23	3.72%
C20ORF195	23	23	3.72%
POM121L12	24	23	3.72%
HRC	24	23	3.72%
KLHL34	24	23	3.72%
HSPA1L	24	23	3.72%
HSPA2	28	23	3.72%
NCOR1	25	23	3.72%
CSTF1	26	23	3.72%
IL3RA	24	23	3.72%
HDAC4	26	23	3.72%
ITGAL	24	23	3.72%
SRGAP3	23	23	3.72%
DRD5	23	23	3.72%
KRT83	23	23	3.72%
ZNF408	26	23	3.72%
EPHB1	25	23	3.72%
NCOA3	24	22	3.55%
KDM5C	23	22	3.55%
EZH2	22	22	3.55%
CHST12	22	22	3.55%
FOXG1	23	22	3.55%
CARM1	22	22	3.55%
PWWP2B	23	22	3.55%
SLC18A3	24	22	3.55%
NCOA1	24	22	3.55%
UHRF1BP1L	23	22	3.55%
TRIM24	23	22	3.55%
PASK	23	22	3.55%
FZD10	23	22	3.55%
TSKS	23	22	3.55%
ZMYM3	23	22	3.55%
ABCB1	22	22	3.55%
OR6C75	22	22	3.55%
RECQL4	23	22	3.55%
