ERBB2,APC,KDR,EGFR,CTLA4,CDH17
11.43404905,8.946488753,8.031547932,8.569559446,5.052250677,14.11363341
12.91041061,6.911727529,7.939009076,9.541876815,5.967334637,12.97066664
11.88264305,4.700439718,8.233619677,7.651051691,5.672425342,10.75321675
12.71825279,9.212771644,8.093471442,9.689225591,4.541446693,13.97921457
12.22827099,8.282651078,7.319493297,9.637247781,5.249331559,14.67632393
12.42517034,8.400258261,7.957987706,9.861982495,5.224387628,13.14785956
11.68221989,8.290389844,8.169488119,9.224762387,5.039103291,13.60878738
11.79596845,8.537661044,8.375649406,12.96629673,5.082987797,12.88358284
12.49685016,8.544124451,11.21651743,6.531155291,6.653027046,11.07649129
11.20873379,7.58254095,7.152212833,8.992866412,5.948005052,13.73803201
11.64004601,7.945020623,8.272663374,8.216632378,5.331576245,13.54808387
11.21546863,8.487657174,7.949605549,7.93851046,6.262237698,12.82735174
17.4300975,8.539033539,8.413418067,9.107985959,6.033777575,13.08527764
13.03542471,8.51250345,6.881794299,8.722343745,7.023596909,14.63581786
12.14208328,8.66665861,7.75419404,8.775016292,3.96827511,14.02487022
12.64307954,6.918863237,7.773322541,8.623190513,5.192020526,12.89239524
11.82719422,8.824177851,7.346989678,9.623294419,2.656496371,13.19766197
12.24423154,8.52102521,8.497355688,8.952692623,5.170437869,14.40600179
12.47375929,8.801871613,8.063739669,8.128560458,5.412866188,12.32356356
12.65079693,8.769905267,7.971543554,8.891728728,5.633503866,12.91869209
12.0628016,7.587089658,7.3072919,7.766243985,4.585106763,13.57725764
11.3385647,8.405726508,8.225092692,8.442741173,4.601791584,13.5427142
10.96333113,8.747434061,7.580021837,8.498454331,4.250393173,14.08716555
12.44236923,9.063538535,8.287536014,8.762622219,4.910243367,13.64207681
12.69593539,8.702736144,8.141654516,8.600603906,4.698051747,13.78946718
11.42284973,7.469328419,7.584178574,7.250281361,5.751233394,12.83495158
11.98984331,5.272418905,6.465148432,7.684283658,3.092562655,13.0323051
12.3960725,8.635548723,7.553154653,8.174486817,6.111279672,13.7582175
11.57965559,8.399691071,7.727427676,6.783474989,5.797996063,13.99434749
11.56553258,8.765569554,8.524443377,7.922595106,7.333487244,13.04098033
11.97279929,6.761744022,7.908731262,8.332651102,5.203130665,12.71723687
12.27924052,8.05104685,8.733932523,8.667062564,4.204078098,13.09000464
12.62506193,8.58197521,7.747554567,7.754825385,4.869432215,14.37364909
12.00123302,8.17691164,8.055509669,8.803480209,6.307290078,13.5005591
12.16396768,7.709931599,8.185865554,8.814058803,5.059619182,13.67706447
13.08555228,6.362904666,7.15451739,7.719500399,4.109444143,13.32085602
11.42552141,8.547858121,8.582601538,8.971430605,4.084387474,13.28118211
12.54510828,8.72561711,8.169833327,9.480761932,2.575360742,13.62411773
12.33269001,7.885825692,7.578594598,8.324171994,3.859323569,13.79730904
11.8582069,8.697849908,8.463087412,8.709064508,7.119818878,12.56563697
12.34868213,8.244379059,7.901422048,8.804147481,6.187676705,13.91357877
12.03128036,7.823488256,7.501027457,9.2295562,4.48226102,13.0493912
12.4436729,8.463886841,7.775233633,8.726239961,4.172847504,14.37595424
12.27215803,6.884838432,6.908882543,8.543439044,4.160420062,12.98464455
12.43923109,8.224996742,8.009697076,8.905683938,5.160008538,13.55597919
12.71225946,8.933897456,7.771205524,8.518560317,5.514106476,12.94975395
11.89690286,8.326034827,8.515142362,8.718979743,5.949763692,14.02755091
11.93115253,9.090985449,7.914123181,8.7961902,4.742717679,12.69274355
10.7849761,9.161740333,8.310789529,8.218155374,4.770141885,13.25945468
12.62725854,7.523147906,8.696909817,9.397018908,3.517792199,14.87147569
11.98431015,7.171338951,7.910268556,9.668712347,6.220302865,12.11258136
12.5808243,6.288550515,6.867347938,8.827743459,5.79863121,11.3240123
11.50875778,8.938191974,8.941157676,8.89296198,5.405406997,13.15263712
11.51035261,9.639172822,8.110870065,10.04633581,5.319119321,13.05950131
11.61515367,7.550004087,8.193114793,8.114701213,4.519151866,13.46701556
11.98542493,7.724693241,8.733493654,7.622874726,6.64792318,13.47347818
11.66076714,8.439092002,7.204539845,8.715054917,6.294523341,12.66879984
12.61895866,7.542494094,7.462207773,9.002893195,6.057328959,12.70705453
12.80727999,6.932471077,6.787509518,9.119881632,6.70917344,5.661815144
11.29348849,8.486987024,7.055870241,8.948966964,4.976088636,14.67539395
11.89442752,8.618863752,8.29660791,9.579141861,5.516522649,13.2821692
13.23648724,8.401406905,8.065494225,8.471593121,3.613236955,12.91091732
12.46024275,7.312037052,7.947902808,8.601696888,3.131902221,14.24388329
12.98094339,6.468850458,5.383123642,8.783968304,3.724650272,13.12505666
11.80166799,8.929926185,7.77113486,8.974117129,4.123906184,14.06306169
11.81363046,8.376872054,8.420983812,9.045571839,5.514904955,14.28206557
12.584097,8.726791036,7.260234591,8.722966646,7.808259543,13.16435024
12.37083488,8.963153875,7.839364429,8.94077636,7.369215194,12.38739483
15.19737679,8.8729937,8.653345618,8.844074261,5.63776093,13.8218674
11.42846445,9.516052191,8.399904648,8.153079247,5.845623024,12.91177862
11.66373514,8.210695693,8.156022383,8.482859574,5.494028322,13.73474198
12.07936371,7.583194116,8.032043522,8.429686675,6.547827667,13.68056943
12.45022578,8.293064648,8.53671502,9.359189501,4.254586485,13.82912528
11.46413014,8.575407262,7.025718739,8.480907712,3.604403485,13.30638961
12.38880485,8.262891632,6.699555797,9.427138285,3.827514198,13.95356638
12.384161,8.449659999,7.904075196,8.962804931,4.457456398,13.94000119
10.6055948,7.60613349,8.996127991,7.015355949,7.085214305,12.03219033
11.46117302,8.631164684,8.703137046,8.158490532,6.551955834,12.89231594
12.06371116,8.051946825,8.56573425,8.529579306,5.004690144,13.71670131
12.12607303,8.741369567,8.076393413,9.397434413,5.725113999,14.24761426
12.30503739,9.186567905,9.225863672,8.653013427,4.819039677,13.48356015
12.13900077,8.70917275,8.539678398,9.385506751,5.328236892,13.26989936
12.1877192,8.395804013,8.169568291,9.554892515,5.867545629,13.42157929
12.02548362,8.474539877,8.215602888,8.430348841,5.893391336,12.93787612
9.221230391,9.1688526,8.536362627,7.100081991,6.428306568,12.88900011
13.21410933,6.002405491,6.91577304,8.74644378,3.420711447,13.10201868
11.62782404,8.423847895,8.174320522,9.125609261,7.890954903,12.3917074
12.38123981,9.17677504,8.785491375,8.365613808,5.549253304,14.24355127
11.92962828,8.069727941,7.561316971,8.308706711,5.658065777,13.96359582
12.41927671,4.246218046,5.998224844,8.246807092,2.457961944,13.61661209
12.2015787,8.049779952,8.129075872,8.449452838,5.156760642,13.59251051
11.52677186,8.545220889,7.275959649,8.748875452,5.220453786,13.02673917
12.97178737,5.779498749,6.546121215,8.250506397,5.125084855,12.40287451
12.88654035,8.191066126,8.185589077,8.757868995,5.142821844,14.07237663
12.3911577,7.709440219,8.257760255,9.448300736,5.311463153,13.24334736
11.55890486,7.666131667,7.181320251,9.821456714,7.300819273,10.54053647
12.3404194,8.782012058,8.541289865,9.390364169,4.962636933,14.52491651
11.83481134,8.832977649,7.760710634,8.323004755,6.230247213,14.06816584
12.25287213,8.738312533,8.138024972,8.188474118,5.873914065,12.5802131
11.10409969,8.703804623,7.694865571,8.078273051,7.182089394,11.66415325
11.85552598,5.86489184,7.020996601,7.101855945,3.937306723,13.30387962
13.33330748,7.828259005,7.249958196,9.765138713,4.304788456,13.81869437
12.80398156,8.386633357,7.373011281,8.76535274,5.857851644,13.99372717
12.13223485,8.773651561,8.092543099,9.201519676,5.64346661,13.42501473
12.17091698,8.80882778,6.682220727,9.435546715,4.022740646,14.25651731
11.27346029,8.19888159,9.302489963,8.44636418,6.905998253,13.71831689
17.8077594,8.339711515,8.405201042,9.170414833,6.759182471,13.48411447
12.33241332,8.011036561,7.745656175,9.794234706,4.851189342,12.67432552
12.4686776,8.953999963,8.222359735,8.259542732,5.346531462,13.8346369
12.8990122,9.072262863,8.371173308,9.009573639,4.44743373,13.70103358
12.62364397,9.121854656,7.072686793,9.89976505,3.704573216,13.53046457
12.64015651,8.555184608,8.481887,10.32222911,4.100060959,13.18018039
12.00129091,8.57868705,8.025447452,8.553138521,5.561393351,13.59247001
